Go Developer (Middle-Senior)	Friendship Tower, 31 Le Duan, Ben Nghe Ward, District 1, Ho Chi Minh	KBTG Vietnam	https://itviec.com/viec-lam-it/go-developer-fresh-junior-middle-kbtg-vietnam-1707?lab_feature=preview_jd_page
Go Developer (Middle-Senior)	Remotely, Other, Ha Noi	KBTG Vietnam	https://itviec.com/viec-lam-it/go-developer-fresh-junior-middle-kbtg-vietnam-1707?lab_feature=preview_jd_page
PHP Developer	Tầng 6, Tòa Nhà Mitec, KĐT mới Cầu Giấy, Cau Giay, Ha Noi	Beetsoft	https://itviec.com/viec-lam-it/php-developer-beetsoft-0238?lab_feature=preview_jd_page
Android Developer (Automotive domain)	Level 11, Five Star Tower, 28Bis Mac Dinh Chi Street, Da Kao Ward, District 1, Ho Chi Minh	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/android-developer-automotive-domain-hcl-vietnam-company-limited-3211?lab_feature=preview_jd_page
Android Developer (Automotive domain)	Leadvisors Tower, Level 15, 643 Pham Van Dong Street, Co Nhue Ward, Bac Tu Liem, Ha Noi	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/android-developer-automotive-domain-hcl-vietnam-company-limited-3211?lab_feature=preview_jd_page
Middle/Senior Automation Tester	E. Town Central, 11 Doan Van Bo, District 4, Ho Chi Minh	NAB Innovation Centre Vietnam	https://itviec.com/viec-lam-it/middle-senior-automation-tester-nab-innovation-centre-vietnam-5807?lab_feature=preview_jd_page
Middle/Senior Automation Tester	TNR Tower, 54A Nguyen Chi Thanh, Lang Thuong, Dong Da, Ha Noi	NAB Innovation Centre Vietnam	https://itviec.com/viec-lam-it/middle-senior-automation-tester-nab-innovation-centre-vietnam-5807?lab_feature=preview_jd_page
iOS/Android Developer (3 years +)	Leadvisors Tower, Level 15, 643 Pham Van Dong Street, Co Nhue Ward, Bac Tu Liem, Ha Noi	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/ios-android-developer-3-years-hcl-vietnam-company-limited-3052?lab_feature=preview_jd_page
Junior/Senior Developer HYBRID 2500$ HN	7 Fl., Mercury Building, Str., Ward, Dist., 444 Hoang Hoa Tham - Thuy Khue - Tay Ho - Ha Noi, Tay Ho, Ha Noi	Bigtree Technology and Consulting Vietnam Co., Ltd.	https://itviec.com/viec-lam-it/junior-senior-developer-hybrid-2500-hn-bigtree-technology-and-consulting-vietnam-co-ltd-3423?lab_feature=preview_jd_page
Junior/Senior Developer HYBRID 2500$ HN	NOA BLDG 3F2-3-5 Azabudai, Minato-ku,Tokyo, Japan	Bigtree Technology and Consulting Vietnam Co., Ltd.	https://itviec.com/viec-lam-it/junior-senior-developer-hybrid-2500-hn-bigtree-technology-and-consulting-vietnam-co-ltd-3423?lab_feature=preview_jd_page
Android Developer (Mid-Senior)	Friendship Tower, 31 Le Duan, Ben Nghe Ward, District 1, Ho Chi Minh	KBTG Vietnam	https://itviec.com/viec-lam-it/android-developer-mid-senior-kbtg-vietnam-0606?lab_feature=preview_jd_page
Android Developer (Mid-Senior)	Remotely, Other, Ha Noi	KBTG Vietnam	https://itviec.com/viec-lam-it/android-developer-mid-senior-kbtg-vietnam-0606?lab_feature=preview_jd_page
Technical Leader (Team Leader/Java/Spring/MVC/Database)	90 Nguyễn Tuân, Thanh Xuan, Ha Noi	YODY Fashion	https://itviec.com/viec-lam-it/technical-leader-team-leader-java-spring-mvc-database-yody-fashion-0226?lab_feature=preview_jd_page
Technical Leader (Team Leader/Java/Spring/MVC/Database)	Đường An Định, Phường Việt Hòa, Thành phố Hải Dương	YODY Fashion	https://itviec.com/viec-lam-it/technical-leader-team-leader-java-spring-mvc-database-yody-fashion-0226?lab_feature=preview_jd_page
Software Developer (Java)	Lô D1 - KCN Thăng Long - Võng La, Dong Anh, Ha Noi	Công Ty TNHH Toa Viêt Nam	https://itviec.com/viec-lam-it/software-developer-java-cong-ty-tnhh-toa-viet-nam-1446?lab_feature=preview_jd_page
C++ Developer (Java, Python)	LK04 dự án thương mại, dịch vụ y tế Tây Hồ Tây và nhà ở thấp tầng, ô đất O16-HH1, khu đô thị mới Tây Hồ Tây, Phường Xuân La, Tay Ho, Ha Noi	VISION SEMICON VIET NAM CO., LTD	https://itviec.com/viec-lam-it/c-developer-java-python-vision-semicon-viet-nam-co-ltd-3554?lab_feature=preview_jd_page
Java Developer (Spring, J2EE)	Số 10 Hồ Xuân Hương, Hai Ba Trung, Ha Noi	VPS Group	https://itviec.com/viec-lam-it/java-developer-spring-j2ee-vps-group-3032?lab_feature=preview_jd_page
Java Developers (Spring, MVC) - Upto 65M	98 Nguy Nhu Kon Tum, Thanh Xuan, Ha Noi	NTT DATA VDS	https://itviec.com/viec-lam-it/java-developers-spring-mvc-upto-65m-ntt-data-vds-4707?lab_feature=preview_jd_page
Solution Architect (Java, Oracle)	Thái Nam Building, 22D Dương Đình Nghệ, Yên Hoà, Cau Giay, Ha Noi	FORTNA	https://itviec.com/viec-lam-it/solution-architect-java-software-architect-oracle-fortna-4828?lab_feature=preview_jd_page
03 Junior Android Developer (Java, Kotlin)	317 Truong Chinh, Thanh Xuan, Ha Noi	ZYYX Việt Nam	https://itviec.com/viec-lam-it/android-devs-java-kotlin-zyyx-viet-nam-3155?lab_feature=preview_jd_page
Senior Java Developer (Spring, MVC)	Remotely, Dolphin Plaza, 6 Nguyen Hoang Street, 3rd floor, Tower 3-4 My Dinh 2 Ward Nam Tu Liem District, Hanoi, Other, Ha Noi	EPAM	https://itviec.com/viec-lam-it/senior-java-developer-spring-mvc-epam-3529?lab_feature=preview_jd_page
Senior Java Developer (Spring, MVC)	Remotely, Floor 13, MB Sunny Tower, 259 Tran Hung Dao, Co Giang ward, District 1, Ho Chi Minh	EPAM	https://itviec.com/viec-lam-it/senior-java-developer-spring-mvc-epam-3529?lab_feature=preview_jd_page
Nhân viên vận hành ứng dụng (Java, Linux)	22 Láng Hạ, Dong Da, Ha Noi	VNPAY	https://itviec.com/viec-lam-it/system-engineer-java-linux-vnpay-2936?lab_feature=preview_jd_page
